File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels2,Date Modified,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:06:03,24.000,48000,2,1920 x 1080,Cineform HD,00:11:45:02,00:11:51:05,16922,17068,147,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:07,24.000,48000,2,1920 x 1080,Cineform HD,00:11:51:05,00:11:54:12,17069,17147,79,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:14,24.000,48000,2,1920 x 1080,Cineform HD,00:11:54:12,00:11:58:02,17148,17233,86,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:07,24.000,48000,2,1920 x 1080,Cineform HD,00:11:58:02,00:12:01:09,17234,17312,79,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:11:07,24.000,48000,2,1920 x 1080,Cineform HD,00:12:01:09,00:12:12:16,17313,17583,271,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:13:17,24.000,48000,2,1920 x 1080,Cineform HD,00:12:12:16,00:12:26:09,17584,17912,329,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:19:04,24.000,48000,2,1920 x 1080,Cineform HD,00:12:26:09,00:12:45:13,17913,18372,460,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:05:04,24.000,48000,2,1920 x 1080,Cineform HD,00:12:45:13,00:12:50:17,18373,18496,124,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:12:01,24.000,48000,2,1920 x 1080,Cineform HD,00:12:50:17,00:13:02:18,18497,18785,289,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:15,24.000,48000,2,1920 x 1080,Cineform HD,00:13:02:18,00:13:07:09,18786,18896,111,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:08:12,24.000,48000,2,1920 x 1080,Cineform HD,00:13:07:09,00:13:15:21,18897,19100,204,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
