File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels,Date Modified
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:24:06,23.976,48000,2,1920 x 1080,Cineform HD,00:14:10:05,00:14:34:11,20405,20986,582,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:17,23.976,48000,2,1920 x 1080,Cineform HD,00:14:34:11,00:14:36:04,20987,21027,41,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:09:11,23.976,48000,2,1920 x 1080,Cineform HD,00:14:36:04,00:14:45:15,21028,21254,227,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:03,23.976,48000,2,1920 x 1080,Cineform HD,00:14:45:15,00:14:48:18,21255,21329,75,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:02,23.976,48000,2,1920 x 1080,Cineform HD,00:14:48:18,00:14:52:20,21330,21427,98,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:11,23.976,48000,2,1920 x 1080,Cineform HD,00:14:52:20,00:14:59:07,21428,21582,155,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:20,23.976,48000,2,1920 x 1080,Cineform HD,00:14:59:07,00:15:01:03,21583,21626,44,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:08:10,23.976,48000,2,1920 x 1080,Cineform HD,00:15:01:03,00:15:09:13,21627,21828,202,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:05:07,23.976,48000,2,1920 x 1080,Cineform HD,00:15:09:13,00:15:14:20,21829,21955,127,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:14:11,23.976,48000,2,1920 x 1080,Cineform HD,00:15:14:20,00:15:29:07,21956,22302,347,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:05:14,23.976,48000,2,1920 x 1080,Cineform HD,00:15:29:07,00:15:34:21,22303,22436,134,10,16,Auto,2,Fri Jul 20 23:08:27 2018
